episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
93,0.6427625356254969,68.0,800.110993406957,0.42003294656925944,304,0.8301486199575372,0.6349905384461753,0.5080519702609577,0.02,0.3,69.4,68.0,2,1,2,"[11, 23]",2,22,11,1
94,0.7879708851581353,71.6,768.6702830285743,0.35713132617644683,240,0.9830148619957535,0.6910051577375755,0.7144121980953414,0.02,0.3,72.2,71.6,3,5,4,"[7, 14, 21, 28]",2,23,9,1
95,0.6096833851444474,75.6,881.1169494501722,0.45107726488730376,320,1.0,0.4906707144508369,0.40620542702299095,0.02,0.3,77.0,75.6,2,1,2,"[11, 23]",2,23,8,1
96,0.7745628679333736,80.0,834.5259316914551,0.344409220774138,336,1.0,0.5736770489370888,0.7561493831306172,0.02,0.3,80.6,80.0,2,3,4,"[7, 14, 21, 28]",3,23,12,0
97,0.7263552178487105,74.4,756.5164914995096,0.4129178553141687,304,1.0,0.7126582946182132,0.5313943236581165,0.02,0.3,75.0,74.4,2,1,3,"[8, 17, 26]",2,22,15,1
98,0.8259269588284036,74.6,729.8611258042367,0.3478970657730807,288,1.0,0.7601473667010229,0.7447068720452418,0.02,0.3,75.0,74.6,2,1,4,"[7, 14, 21, 28]",2,21,6,1
99,0.553018922225851,77.0,959.6845562272247,0.46225768418743657,336,1.0,0.35069504185029265,0.3695260241769082,0.02,0.3,78.0,77.0,2,3,1,[17],3,23,18,0
100,0.820573381893734,75.2,759.7435075282799,0.33980582524271846,304,1.0,0.7069090582897904,0.771251661016992,0.02,0.3,76.0,75.2,2,1,4,"[7, 14, 21, 28]",2,22,12,1
101,0.8057173084922254,76.6,752.5345554242367,0.3540628474939253,304,1.0,0.7197524928921956,0.7244789015614169,0.02,0.3,76.8,76.6,2,1,4,"[7, 14, 21, 28]",3,21,16,0
102,0.7900083221202732,73.2,778.0902734848236,0.35562502473190616,304,1.0,0.674222547777903,0.7193538944672554,0.02,0.3,74.0,73.2,2,3,4,"[7, 14, 21, 28]",2,22,8,1
103,0.6937076372117242,71.4,759.3675943109245,0.4308107915970568,304,0.9745222929936308,0.7075787834805816,0.4726932856736512,0.02,0.3,72.0,71.4,2,5,3,"[8, 17, 26]",2,20,12,0
104,0.6553298439392432,72.2,757.9758348142784,0.46644741213208424,252,1.0,0.7100583355457735,0.35578085818877786,0.02,0.3,76.0,72.2,3,1,4,"[7, 14, 21, 28]",3,23,18,0
105,0.669607954344588,70.4,795.80720510819,0.42462658889375904,352,0.9320594479830151,0.6426581471027523,0.49298168954714444,0.02,0.3,71.2,70.4,2,1,2,"[11, 23]",2,23,5,0
106,0.6499413001245238,77.4,829.6456575714277,0.44136311714684606,264,1.0,0.5823717219766319,0.43807445882883567,0.02,0.3,78.0,77.4,3,1,3,"[8, 17, 26]",2,23,7,0
107,0.6980748173792475,71.4,780.4906598781786,0.41887957966486794,288,0.9745222929936308,0.6699460308558017,0.5118358005610443,0.02,0.3,71.6,71.4,2,5,2,"[11, 23]",3,22,20,1
108,0.7393070006603828,72.8,778.5329325318213,0.3940809968847352,352,1.0,0.6734339085361345,0.593192070248856,0.02,0.3,73.8,72.8,2,1,4,"[7, 14, 21, 28]",2,23,16,0
109,0.6868917949387009,72.8,840.7017930307065,0.4087024087024087,320,1.0,0.5626741639020071,0.5452238644202471,0.02,0.3,73.4,72.8,2,3,2,"[11, 23]",2,23,11,1
110,0.7383012933147612,71.4,741.1679554233161,0.40424136423261914,320,0.9745222929936308,0.7400031731098716,0.5598591337092761,0.02,0.3,71.4,71.4,2,1,3,"[8, 17, 26]",3,22,14,0
111,0.747071105639274,67.2,700.1716126967137,0.3734845522096206,320,0.7961783439490447,0.813042061307172,0.6607624601560225,0.02,0.3,67.8,67.2,2,3,4,"[7, 14, 21, 28]",2,23,13,1
112,0.7775494242196133,74.4,790.223893504635,0.3601772319172918,352,1.0,0.6526053483617105,0.7044195492777501,0.02,0.3,74.4,74.4,2,1,4,"[7, 14, 21, 28]",2,23,10,0
113,0.6453419775898024,65.6,769.5984584107742,0.4071969011331137,304,0.7282377919320593,0.689351524914275,0.5501629563397552,0.02,0.3,66.0,65.6,2,3,3,"[8, 17, 26]",3,23,3,1
114,0.7658352222611304,68.2,739.0909195448114,0.353041549355857,320,0.8386411889596604,0.7437036103006615,0.7278294562075844,0.02,0.3,68.6,68.2,2,3,4,"[7, 14, 21, 28]",2,23,10,1
115,0.7268511228915602,74.0,734.6038726710754,0.4214647971360382,252,1.0,0.7516977115582401,0.5033545235602204,0.02,0.3,75.0,74.0,3,1,4,"[7, 14, 21, 28]",2,22,3,0
116,0.6865430287512072,67.8,704.156680759532,0.42381055990716565,352,0.8216560509554139,0.8059422830991528,0.495658821337093,0.02,0.3,68.8,67.8,2,1,4,"[7, 14, 21, 28]",2,23,23,0
117,0.7795213800959486,70.0,741.7500305009665,0.3590026118184786,240,0.9150743099787686,0.7389661509344433,0.7082731045549625,0.02,0.3,70.8,70.0,3,5,4,"[7, 14, 21, 28]",2,23,10,1
118,0.7358278453145004,78.6,782.8210962560119,0.3949857048603475,352,1.0,0.6657941365469214,0.59022401087606,0.02,0.3,79.4,78.6,2,1,4,"[7, 14, 21, 28]",2,23,7,0
