tick,agent_1,agent_2,agent_3,agent_4
286,0.2799,0.6572,0.6359,0.4476
287,0.2583,0.5257,0.0728,0.3916
288,0.2761,0.5496,0.0733,0.3967
289,0.2908,0.4091,0.1662,0.4062
290,0.2737,0.6496,0.0129,0.418
291,0.2573,0.6136,0.0383,0.4117
292,0.3128,0.6273,0.1155,0.4114
293,0.3132,0.6484,0.0421,0.3983
294,0.2362,0.667,0.0354,0.4321
295,0.4465,0.4391,0.0386,0.3903
296,0.4255,0.4067,0.0473,0.4084
297,0.4377,0.272,0.0715,0.4092
298,0.4895,0.645,0.0443,0.4199
299,0.4221,0.6384,0.1065,0.3868
300,0.4044,0.5639,0.0268,0.3748
301,0.5848,0.648,0.0421,0.2674
302,0.5819,0.3826,0.1212,0.0878
303,0.6196,0.4391,0.0454,0.0634
304,0.5894,0.5861,0.0443,0.0279
305,0.0306,0.5288,0.0179,0.044
306,0.0716,0.4824,0.0422,0.0436
307,0.0168,0.5728,0.1003,0.0431
308,0.0154,0.4647,0.0317,0.072
309,0.0114,0.4637,0.0425,0.0617
310,0.0157,0.3741,0.1211,0.0518
311,0.0682,0.4148,0.0444,0.0225
312,0.0192,0.3709,0.0388,0.0279
313,0.0163,0.6102,0.0288,0.4001
314,0.0076,0.6162,0.0363,0.3781
315,0.321,0.6064,0.0998,0.4101
316,0.4947,0.6202,0.0416,0.4078
317,0.5318,0.6092,0.033,0.1445
318,0.5293,0.5593,0.1201,0.0346
319,0.7225,0.7226,0.0421,0.0398
320,0.7369,0.6825,0.0476,0.0391
321,0.7473,0.5516,0.0357,0.0491
322,0.7564,0.5758,0.0281,0.0409
323,0.6846,0.5605,0.0994,0.0497
324,0.559,0.5674,0.0411,0.0273
325,0.5972,0.5659,0.0336,0.049
326,0.6541,0.5474,0.0336,0.0642
327,0.5244,0.4421,0.1072,0.0919
328,0.672,0.4839,0.0403,0.0938
329,0.576,0.1511,0.0371,0.0205
330,0.6534,0.0892,0.0171,0.0313
331,0.6748,0.0444,0.1007,0.0272
332,0.5809,0.0816,0.0366,0.0784
333,0.6734,0.0569,0.0287,0.1009
334,0.6519,0.0892,0.0429,0.0877
335,0.5051,0.09,0.1212,0.0403
336,0.5045,0.1049,0.0493,0.0729
337,0.505,0.0493,0.0359,0.0911
338,0.504,0.0883,0.0358,0.0602
339,0.5048,0.0243,0.1193,0.0603
340,0.4047,0.2678,0.0413,0.0667
341,0.6548,0.3003,0.0373,0.0551
342,0.6578,0.2444,0.0337,0.0993
343,0.6569,0.4594,0.0328,0.0231
344,0.6586,0.4411,0.0535,0.0439
345,0.5612,0.4883,0.5785,0.0458
346,0.8956,0.452,0.5766,0.0978
347,0.846,0.4429,0.567,0.0536
348,0.8411,0.5389,0.6088,0.0931
349,0.8966,0.5865,0.4864,0.054
350,0.8966,0.5405,0.3785,0.0716
351,0.8967,0.5389,0.5798,0.0604
352,0.8768,0.4664,0.121,0.1224
353,0.869,0.526,0.0493,0.0852
354,0.8817,0.5824,0.0354,0.0359
355,0.9104,0.5377,0.0326,0.0364
356,0.78,0.5389,0.7112,0.0898
357,0.795,0.5585,0.6725,0.0253
358,0.518,0.5344,0.6701,0.113
359,0.531,0.5412,0.6689,0.082
360,0.5202,0.5618,0.6679,0.0966
361,0.5537,0.396,0.7054,0.0709
362,0.3432,0.3976,0.4479,0.0574
363,0.6818,0.4404,0.8188,0.0483
364,0.6622,0.4347,0.8126,0.1225
365,0.5024,0.4629,0.8331,0.0525
366,0.6617,0.442,0.8188,0.0455
367,0.7266,0.441,0.8205,0.1396
368,0.7611,0.4679,0.6618,0.1471
369,0.7375,0.4438,0.7067,0.0902
370,0.737,0.096,0.3877,0.0364
371,0.7753,0.0268,0.6439,0.1075
372,0.7384,0.0777,0.6665,0.0998
373,0.7331,0.1203,0.6688,0.1702
374,0.7354,0.0955,0.7057,0.0748
375,0.7447,0.0259,0.6702,0.134
376,0.551,0.0696,0.6707,0.1454
377,0.7981,0.1,0.6699,0.044
378,0.7005,0.0933,0.1212,0.0205
379,0.7968,0.0425,0.0479,0.1042
380,0.8016,0.0212,0.0354,0.0662
381,0.836,0.4529,0.0356,0.0883
382,0.6435,0.4143,0.119,0.0924
383,0.9152,0.3928,0.0411,0.0835
384,0.8964,0.4115,0.0368,0.1444
385,0.7738,0.4889,0.0199,0.1095
386,0.7928,0.491,0.1115,0.0894
387,0.7378,0.443,0.0347,0.0632
388,0.7032,0.3127,0.0204,0.0983
389,0.7018,0.5363,0.6636,0.1389
390,0.7038,0.5611,0.6701,0.116
391,0.7284,0.5356,0.6702,0.0426
392,0.6325,0.7727,0.7018,0.0792
393,0.6488,0.7738,0.6685,0.133
394,0.4625,0.7804,0.6696,0.1074
395,0.7748,0.7711,0.6691,0.0335
396,0.7633,0.7799,0.7,0.1512
397,0.7675,0.7744,0.6708,0.1195
398,0.6426,0.763,0.6676,0.0594
399,0.4742,0.5303,0.1202,0.0456
400,0.5963,0.5398,0.0418,0.016
401,0.6484,0.6109,0.0347,0.0515
402,0.5583,0.5904,0.0282,0.0773
403,0.4673,0.5391,0.1199,0.0974
404,0.5469,0.5497,0.0367,0.1079
405,0.6895,0.5315,0.0404,0.0621
406,0.6961,0.4955,0.0392,0.0777
407,0.6357,0.5112,0.0275,0.0185
408,0.6523,0.5446,0.0355,0.0183
409,0.6377,0.5448,0.0998,0.1101
410,0.6288,0.5198,0.041,0.1259
411,0.6311,0.3905,0.0333,0.0272
412,0.5497,0.4216,0.12,0.1449
413,0.7203,0.3799,0.0416,0.1637
414,0.6475,0.3545,0.0478,0.1343
415,0.6395,0.3715,0.0352,0.1152
