tick,agent_1,agent_2,agent_3,agent_4
335,0.97,1.0957,1.0185,0.7546
336,1.1532,1.0699,1.05,1.117
337,1.1256,0.9373,1.1458,1.183
338,1.0529,1.0033,1.144,1.1964
339,0.9745,0.9419,0.9764,1.179
340,1.1816,0.9755,0.9825,1.0102
341,1.1518,1.1179,1.0695,1.1787
342,1.1065,0.9937,1.1785,1.0344
343,1.1483,1.1258,1.1516,1.07
344,0.6778,1.1258,0.8594,0.8988
345,1.2134,1.0949,0.9955,1.0971
346,1.2387,1.0865,0.9912,0.78
347,0.9304,1.0651,0.9931,1.0097
348,0.9835,1.0163,0.9982,1.0277
349,1.0866,0.9455,0.883,0.7854
350,1.1051,0.9518,0.9092,1.0089
351,1.1282,1.1583,1.2054,0.8939
352,1.0127,1.2033,1.0421,0.8905
353,0.8075,0.5962,1.1952,1.0176
354,0.7707,1.0249,1.2146,1.1261
355,0.8955,0.904,1.2016,0.8914
356,0.8381,0.7665,1.0567,0.9795
357,0.8882,1.0818,1.1722,1.2013
358,0.9034,1.1271,0.9563,1.1713
359,0.789,0.7583,1.1127,1.1689
360,1.0839,0.9243,1.1127,1.191
361,1.2423,0.9482,1.1127,1.1762
362,1.2423,1.0025,0.8348,1.191
363,1.0138,1.1243,1.1657,1.2096
364,1.2756,1.0842,0.7802,1.2096
365,1.2186,1.1209,1.1525,0.9992
366,1.1832,0.9485,0.5958,1.1828
367,1.2252,1.1489,1.191,1.1351
368,1.0399,1.1457,1.1912,0.9252
369,1.1895,1.092,0.8848,1.2159
370,0.9309,1.1148,1.1233,0.9507
371,0.8981,1.15,1.1737,0.9733
372,1.1831,1.1029,1.2078,0.7767
373,0.9933,1.1032,1.0353,0.7111
374,1.0615,0.8648,1.0559,0.8953
375,1.1827,1.0404,1.1855,0.766
376,1.2139,1.0208,1.0188,0.8109
377,1.0791,0.9955,1.2028,1.0242
378,1.2374,0.8762,1.2028,1.0235
379,1.1259,1.1036,1.2111,1.066
380,1.1723,0.8741,1.2111,0.9465
381,1.2135,0.8731,0.9707,1.0492
382,1.191,0.9121,0.9463,1.0773
383,1.191,1.1289,1.1392,1.2225
384,1.1909,1.0035,0.9744,1.1541
385,1.191,1.1821,1.0973,1.1985
386,1.1149,0.9831,0.7537,1.2116
387,1.129,1.1341,0.8768,0.9958
388,0.9045,1.1734,0.7639,1.176
389,0.9114,1.1734,0.607,1.1604
390,1.0354,0.9747,0.8801,1.211
391,1.152,0.7713,0.8489,1.2545
392,0.9653,0.9337,0.9195,1.2545
393,1.0651,1.0855,1.1429,0.8369
394,1.0637,1.0855,1.1429,0.9414
395,1.0319,1.0844,0.8301,0.9371
396,0.9285,0.7553,1.0185,0.983
397,1.2167,1.0359,1.1464,1.0747
398,1.1978,1.0755,1.1126,1.172
399,1.2432,1.0534,1.0706,1.2257
400,1.2922,0.8268,0.8791,1.0242
401,1.2922,0.7271,0.8588,0.8518
402,1.2014,0.78,1.1925,1.1852
403,1.3175,0.8493,1.1394,1.1852
404,1.2193,0.5946,1.0601,1.1367
405,1.0652,0.7582,1.0271,1.1177
406,0.7837,0.4687,1.1972,1.2157
407,0.7773,0.8607,0.9997,1.1847
408,0.7902,0.8296,1.0329,0.7724
409,1.0015,0.9197,1.1467,1.0194
410,0.7736,0.8357,1.1757,1.0393
411,1.1076,0.9537,0.9156,0.7467
412,0.8734,0.9259,0.9685,0.975
413,1.1065,0.9767,1.1092,0.9743
414,0.9221,0.8594,1.1648,1.0213
415,1.13,0.8615,1.1792,0.82
416,1.1016,0.5425,0.8727,0.7784
417,1.002,0.5761,0.9935,1.0565
418,1.0045,0.6215,0.8999,0.9878
419,1.1179,0.5522,0.9158,1.1257
420,0.9496,0.7815,0.9967,1.0741
421,0.8463,0.9071,0.7972,0.991
422,1.0624,0.9069,1.0705,0.9578
423,1.2468,0.9062,1.0868,1.0119
424,1.2468,0.9025,1.1875,1.0549
425,1.2468,0.9512,0.9664,1.1474
426,1.2532,0.7757,1.1844,1.1511
427,1.2577,1.0671,1.1867,0.9115
428,1.2582,1.1182,1.0313,0.8298
429,1.2583,1.1234,1.0938,1.1734
430,1.077,0.8826,1.041,0.9387
431,1.1039,0.9598,0.9745,0.9902
432,0.9656,1.0016,0.8587,1.1766
433,0.9963,0.9507,0.8952,1.1766
434,1.165,1.1032,0.9047,0.9783
435,1.1947,0.769,0.7548,1.1164
436,0.89,0.8656,0.772,1.1152
437,1.1901,0.9997,0.7555,0.9677
438,1.1901,1.0339,0.7842,0.7764
439,1.1901,1.0989,1.1022,1.0806
440,1.1861,1.0372,0.7349,1.0842
441,0.8625,1.0974,1.1131,1.0821
442,1.1448,1.1024,0.8458,1.0493
443,1.1448,1.1024,0.6529,1.0513
444,0.6302,1.1024,1.1287,0.9903
445,0.9548,1.1024,1.009,0.9675
446,1.0145,1.1024,1.2122,0.8942
447,1.1918,1.106,1.0391,1.0037
448,1.1917,1.106,1.1935,0.605
449,1.1918,0.7802,0.9814,0.8338
450,1.1794,1.0728,1.1867,1.1283
451,1.0128,1.0962,1.1868,1.1283
452,1.224,1.1175,1.1868,1.1265
453,1.1025,1.1671,1.1261,1.0327
454,0.8972,1.1383,1.1859,1.0663
455,1.2379,0.9684,1.1639,1.1271
456,1.1378,1.1483,0.9293,1.0338
457,1.2377,0.9626,1.1522,0.695
458,1.2016,1.1865,1.0946,0.998
459,1.2257,0.808,1.0096,1.191
460,1.234,0.7611,1.0033,1.0429
461,1.0248,1.0921,1.0864,1.2139
462,1.2354,0.9362,1.0951,1.0676
463,1.2354,0.9409,1.0151,1.1866
464,1.2354,1.0351,1.1063,1.1866
465,1.0762,1.0796,1.1063,1.1494
466,1.1997,1.08,1.1063,0.9298
467,1.1215,1.0799,0.7332,1.1501
468,0.6728,0.8871,1.2654,1.118
469,1.1799,1.09,0.8436,1.1354
470,0.9251,0.926,1.1912,1.1615
471,0.9058,1.1364,0.6367,1.2063
472,1.1015,1.053,0.9618,1.2388
473,1.0568,0.8754,1.0159,0.9291
474,1.0391,0.7809,1.1575,1.267
