tick,arrivals,completions
1121,0.3,0.0
1122,0.1,0.0
1123,0.1,0.3
1124,0.2,0.1
1125,0.1,0.1
1126,0.1,0.3
1127,0.2,0.2
1128,0.3,0.3
1129,0.1,0.1
1130,0.1,0.0
1131,0.1,0.2
1132,0.2,0.2
1133,0.0,0.0
1134,0.2,0.1
1135,0.2,0.4
1136,0.1,0.0
1137,0.4,0.2
1138,0.0,0.1
1139,0.0,0.1
1140,0.2,0.0
1141,0.3,0.1
1142,0.2,0.0
1143,0.3,0.1
1144,0.0,0.1
1145,0.2,0.2
1146,0.1,0.1
1147,0.0,0.1
1148,0.1,0.3
1149,0.1,0.1
1150,0.1,0.1
1151,0.2,0.1
1152,0.0,0.1
1153,0.0,0.0
1154,0.1,0.2
1155,0.0,0.4
1156,0.0,0.2
1157,0.2,0.1
1158,0.3,0.2
1159,0.2,0.4
1160,0.1,0.3
1161,0.1,0.1
1162,0.3,0.0
1163,0.0,0.0
1164,0.1,0.1
1165,0.1,0.1
1166,0.0,0.3
1167,0.1,0.3
1168,0.0,0.0
1169,0.3,0.1
1170,0.2,0.1
1171,0.3,0.1
1172,0.2,0.0
1173,0.2,0.2
1174,0.2,0.1
1175,0.2,0.0
1176,0.1,0.2
1177,0.2,0.1
1178,0.2,0.2
1179,0.1,0.1
1180,0.0,0.3
1181,0.0,0.2
1182,0.2,0.3
1183,0.3,0.0
1184,0.3,0.0
1185,0.0,0.1
1186,0.2,0.1
1187,0.0,0.4
1188,0.0,0.0
1189,0.1,0.1
1190,0.1,0.0
1191,0.1,0.1
1192,0.2,0.4
1193,0.2,0.5
1194,0.3,0.3
1195,0.4,0.1
1196,0.1,0.2
1197,0.2,0.3
1198,0.2,0.1
1199,0.2,0.1
1200,0.2,0.1
1201,0.1,0.0
1202,0.2,0.0
1203,0.1,0.0
1204,0.2,0.1
1205,0.1,0.4
1206,0.3,0.3
1207,0.0,0.1
1208,0.1,0.3
1209,0.2,0.2
1210,0.3,0.0
1211,0.1,0.1
1212,0.1,0.1
1213,0.1,0.1
1214,0.1,0.1
1215,0.4,0.0
1216,0.3,0.1
1217,0.4,0.1
1218,0.0,0.2
1219,0.1,0.1
1220,0.2,0.1
1221,0.1,0.1
1222,0.0,0.0
1223,0.0,0.3
1224,0.5,0.2
1225,0.1,0.1
1226,0.0,0.1
1227,0.1,0.1
1228,0.0,0.2
1229,0.2,0.1
1230,0.3,0.0
1231,0.0,0.1
1232,0.3,0.4
1233,0.1,0.0
1234,0.1,0.2
1235,0.1,0.0
1236,0.2,0.4
1237,0.1,0.0
1238,0.1,0.1
1239,0.1,0.1
1240,0.3,0.1
1241,0.0,0.0
1242,0.0,0.0
1243,0.1,0.1
1244,0.1,0.3
1245,0.0,0.1
1246,0.1,0.3
1247,0.0,0.1
1248,0.1,0.1
1249,0.2,0.2
1250,0.0,0.1
1251,0.1,0.0
1252,0.1,0.3
1253,0.2,0.0
1254,0.1,0.2
