tick,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8
316,0.6494,0.9921,1.2076,0.9514,0.9992,0.6581,0.4765,0.9394
317,0.6373,0.7203,0.8132,0.8371,0.7916,0.6603,0.4394,0.9368
318,0.5972,0.8866,0.7361,0.8581,0.7275,0.6181,0.4011,0.9221
319,0.7442,0.8782,0.8465,0.8721,0.7379,0.7725,0.4781,0.8931
320,0.7771,0.7426,0.8516,0.7682,0.6165,0.6152,0.6198,1.008
321,0.7315,0.6275,0.8693,0.7796,0.8112,0.5062,0.5611,1.0443
322,0.5773,0.624,1.1943,0.7879,0.736,0.6119,0.7025,1.0755
323,0.851,0.5141,1.0346,0.787,0.8556,0.7703,0.6986,0.8581
324,0.858,0.6108,1.1011,0.8102,0.8141,0.8423,0.6964,0.9288
325,1.063,0.787,0.9379,0.6969,0.8177,0.7467,0.7877,1.0229
326,1.0427,0.7948,0.7341,0.7443,0.8368,0.8371,0.7813,1.0561
327,0.9432,0.6991,0.991,0.7404,0.6699,0.7713,0.7518,1.0212
328,0.9856,0.9501,0.9579,0.6761,0.9034,0.7911,0.7059,1.1742
329,0.8358,0.9602,1.1678,0.841,0.9093,0.8539,0.5808,1.021
330,0.9467,0.916,0.9712,0.9144,0.8075,0.8505,0.5245,0.9571
331,0.9892,0.7098,1.0651,1.1624,1.1175,0.8931,0.5342,0.8747
332,0.9337,1.0025,0.9974,1.169,1.1178,0.7701,0.3838,1.1395
333,0.8394,1.0727,1.1111,0.9731,0.7459,0.8382,0.4578,1.1374
334,0.948,1.1308,1.0844,1.2236,0.9728,0.8145,0.6371,0.7387
335,0.5956,1.0307,1.0962,1.23,0.9582,0.7998,0.5689,0.8986
336,0.7458,0.9627,1.1495,1.1923,0.9471,0.7253,0.6271,1.2092
337,1.0539,0.5268,0.907,0.6286,1.1804,0.7096,0.5036,1.1866
338,1.1436,0.927,0.9071,1.1378,1.0798,0.8086,0.4679,1.1885
339,1.0632,0.948,0.8484,1.1789,1.1578,0.7061,0.3095,1.188
340,0.8632,0.8237,0.7196,1.1732,1.0181,0.5592,0.3081,1.1885
341,0.8346,0.979,0.9591,1.1788,0.975,0.8169,0.5274,0.8681
342,0.8723,0.761,0.8195,1.1782,1.1716,0.8051,0.7893,0.8002
343,0.6383,0.8478,1.0209,1.1705,1.1253,0.6555,0.7929,1.2623
344,0.8591,0.7238,0.8884,1.0744,1.1328,0.6536,0.434,1.263
345,0.7287,0.4954,0.949,0.8263,0.9603,0.3422,0.8877,0.996
346,1.0717,0.6262,0.7214,1.1804,1.0852,0.6261,0.6633,1.1228
347,0.8395,0.7806,0.8316,0.9292,0.6354,0.429,0.7818,0.8791
